,1_Jun-Lung_Control,2_Jun-Lung_GSK,4_Aug-Lung3_GSK,6_Oct-Lung_Placebo
Adarb1(+),0,0,0,0.001399602
Ahr(+),0.009765047,0.020603689,0,0
Ar(+),0,0,0,0
Atf3(+),0.047465229,0.057773133,0.016605335,0.060078045
Atf5(+),0.000186602,6.31E-05,0.031839456,0.010749094
Bcl11b(+),0.038720368,0,0.001344335,0.000895855
Bhlhe41(+),0.01038855,0.003954605,0.013689313,0.012665452
Cebpa(+),0.039197797,0.019973372,0.014532449,0.000666164
Ckmt1(+),0,0,0.01440197,0
Dbp(+),0.001553338,0.000326373,0.021653478,0.031228451
Ddit3(+),0.03097498,0.079065702,0.045236613,0.048614343
Ebf1(+),0.088855565,0.002910104,0.000217817,0.000963385
Egr1(+),0.045753963,0.024731472,0.027440123,0.120191386
Egr2(+),0.004125587,0.001794441,0,0.019651806
Ehf(+),0.002074368,0,0,0.021987424
Elf5(+),0.000761774,0.000670122,0.08544011,0
Ets1(+),0.067587805,0.013282946,0.001541336,0.001523687
Ezh2(+),0.001909335,0.001502792,0.000297544,0.000378017
Fhl2(+),0,3.45E-05,0,0.004167418
Fosb(+),0.037939471,0.022438006,0.001497613,0.08150186
Foxm1(+),0,0.000258118,0,0.00018923
Foxq1(+),0.007223436,0,0.002716604,0
Gata6(+),0.001589744,0.000334923,0.000138136,0.000363609
H1fx(+),0.003466063,0.000172757,0,0
Hes1(+),0.035276846,0.002441523,0.001234967,0.00073763
Hivep3(+),0,5.20E-05,0.000741175,0
Hmgn3(+),0,0.000269995,0,0.000483344
Id1(+),0,0,0.032829072,0
Id2(+),0,0,0,0
Ikzf2(+),0,0.000523706,0.003951891,0
Irf7(+),0.010795508,0.006077302,0.055134499,0.05088992
Irf8(+),0.043350248,0.023135254,0.01167851,0.010606125
Irx3(+),0,0,0,0
Jdp2(+),0.022071041,0.063868797,0.045923754,0.054705539
Klf4(+),0.021300951,0.020839285,0.01205629,0.044211187
Lef1(+),0.056090235,0.022712015,0.000705755,0.000661242
Lmo2(+),0,0,0.008984082,0
Maf(+),0.016495219,0,0.002938501,0.000794815
Mafb(+),0.046948633,0.034702296,0.011927347,0.007992791
Mecom(+),0.001718509,0.000423561,0.001656023,0
Mef2c(+),0.097561688,0.023738968,0.007966761,0.005205813
Mxd3(+),0,0,3.62E-05,0
Mycl(+),0.001416577,9.57E-05,0,0
Nfia(+),0.001513258,0.00030639,0.000498286,0.003145219
Nfib(+),0.001853504,0.000198925,0.000408883,0.001045978
Nfix(+),0.005026609,0.001081675,0.000703083,0.00203657
Nkx2-1(+),0.001516682,0.000390426,0.003207551,0
Nr1d1(+),0,0.00015676,0.047466397,0.018041795
Nr1h3(+),0.001767479,0.004557975,0.002453312,0.004456423
Nr2f2(+),0.002308731,0.000178634,0.000531113,0.000696392
Nr4a1(+),0.012871551,0,0,0
Pax5(+),0.087151749,0.003784623,0.000312819,0.000797278
Pbx1(+),0.003782791,9.15E-05,0.001890097,0.001859626
Pou2af1(+),0,0.001172408,0,0
Pparg(+),0.018575971,0.003793534,0.001864004,0.004010503
Sox2(+),0.003911723,0.00071997,0.001489776,0.001307766
Sox4(+),0.001248517,0.000552768,0,0.001659848
Spats2(+),0,0.000115189,0,0
Tcf4(+),0.021867628,0.003673277,0.003668247,0.002747939
Tcf7(+),0.026268365,0.024218914,0.000795658,0.000786846
Tcf7l2(+),0.022320029,0.005667855,0.005250811,0.007947119
Tfec(+),0.014763446,0.004611426,0.005150646,0.008872287
Yod1(+),0,0,0.077101062,0
